Sex,Length,Whole weight,Rings
"M",0.55,0.8705,9
"I",0.55,0.668,11
"F",0.565,0.83,9
"M",0.58,0.8685,8
"F",0.58,0.839,7
"F",0.585,1.079,11
"M",0.595,0.919,9
"F",0.6,1.1345,10
"F",0.61,0.909,8
"M",0.61,1.2435,8
"F",0.62,1.056,9
"M",0.645,1.2095,9
"M",0.65,1.238,8
"F",0.665,1.644,10
"M",0.685,1.7725,11
"F",0.69,1.2525,12
"F",0.705,1.761,10
"F",0.71,1.3165,10
"M",0.72,1.914,11
"F",0.72,2.1,12
"F",0.73,1.6895,10
"M",0.775,2.032,17
"F",0.505,0.66,8
"M",0.53,0.7455,10
"F",0.505,0.616,11
"I",0.405,0.2825,7
"M",0.415,0.3355,7
"M",0.5,0.651,11
"M",0.425,0.361,7
"M",0.47,0.4775,8
"F",0.4,0.3465,10
"I",0.37,0.25,10
"M",0.5,0.66,19
"I",0.41,0.315,9
"M",0.375,0.276,9
"F",0.49,0.5395,11
"M",0.585,1.04,10
"M",0.595,1.041,14
"F",0.675,1.6885,15
"M",0.665,2.1835,27
"M",0.62,1.2105,13
"I",0.325,0.166,5
"I",0.455,0.452,9
"M",0.525,0.7185,8
"I",0.385,0.232,7
"I",0.13,0.0105,4
"I",0.18,0.0275,3
"I",0.31,0.1445,6
"F",0.375,0.282,7
"F",0.48,0.608,8
"I",0.455,0.433,9
"M",0.425,0.3295,7
"I",0.475,0.4555,9
"F",0.435,0.4585,11
"F",0.29,0.275,6
"M",0.385,0.335,7
"M",0.47,0.4265,8
"F",0.5,0.5765,10
"I",0.4,0.127,7
"M",0.62,1.1505,12
"M",0.595,0.8915,12
"M",0.585,0.97,9
"M",0.32,0.18,6
"F",0.52,0.6985,10
"M",0.44,0.4585,9
"F",0.44,0.4005,8
"M",0.565,0.7145,12
"F",0.56,0.932,9
"F",0.59,0.966,10
"F",0.57,0.9995,16
"M",0.68,1.496,14
"F",0.45,0.5065,10
"I",0.32,0.1735,7
"I",0.46,0.3945,9
"M",0.47,0.4665,10
"M",0.455,0.401,9
"F",0.415,0.3455,9
"M",0.465,0.5205,11
"M",0.46,0.4935,12
"M",0.415,0.3245,8
"M",0.27,0.106,7
"M",0.445,0.4415,10
"F",0.745,1.966,18
"F",0.4,0.3025,8
"I",0.28,0.1225,5
"M",0.55,0.879,10
"M",0.58,1.2275,16
"M",0.61,1.2715,12
"M",0.62,1.806,17
"M",0.56,0.8085,14
"F",0.64,1.3905,12
"M",0.69,1.8465,19
"F",0.715,2.1995,17
"F",0.71,1.817,11
"F",0.55,0.897,9
"M",0.375,0.3245,5
"F",0.61,1.136,9
"I",0.38,0.2735,6
"F",0.37,0.2405,5
"M",0.335,0.1545,6
"I",0.165,0.0145,4
"M",0.285,0.1185,7
"I",0.19,0.0295,6
"I",0.215,0.0385,5
"M",0.595,0.799,10
"F",0.645,1.1845,13
"M",0.575,0.925,12
"F",0.57,1.098,20
"F",0.58,1.071,14
"F",0.595,0.975,15
"F",0.595,1.283,14
"F",0.625,1.0595,21
"M",0.535,0.9195,16
"M",0.55,0.9295,13
"M",0.495,0.8085,6
"I",0.32,0.1485,6
"M",0.445,0.4475,9
"F",0.52,0.6865,9
"M",0.495,0.6335,14
"M",0.47,0.547,12
"F",0.49,0.585,10
"M",0.58,0.927,11
"M",0.645,1.4935,15
"F",0.575,1.0405,14
"I",0.215,0.0605,6
"I",0.43,0.3675,13
"I",0.26,0.099,5
"I",0.37,0.233,11
"I",0.405,0.3625,10
"I",0.27,0.081,6
"F",0.68,1.596,21
"F",0.65,1.4005,13
"F",0.645,1.406,25
"M",0.57,0.9245,19
"M",0.615,1.36,18
"M",0.42,0.43,7
"I",0.275,0.1365,6
"F",0.29,0.14,5
"M",0.42,0.4215,8
"F",0.625,1.5765,16
"F",0.55,1.2125,27
"M",0.66,1.6305,18
"M",0.565,1.142,17
"F",0.595,1.366,13
"M",0.63,1.539,17
"F",0.43,0.445,8
"F",0.455,0.5725,10
"I",0.33,0.19,7
"F",0.515,0.764,13
"M",0.495,0.853,14
"F",0.485,0.5885,13
"F",0.535,0.7875,8
"M",0.58,1.035,17
"F",0.625,1.352,13
"F",0.555,0.958,14
"F",0.55,0.797,9
"M",0.59,0.857,13
"I",0.355,0.2235,7
"I",0.275,0.086,7
"F",0.505,0.692,12
"M",0.37,0.2225,7
"M",0.555,0.7575,13
"F",0.505,0.729,9
"F",0.56,0.903,9
"M",0.595,1.0965,17
"F",0.57,0.903,14
"M",0.6,1.229,13
"F",0.56,1.106,15
"M",0.585,1.171,17
"I",0.46,0.444,8
"F",0.46,0.4755,8
"M",0.415,0.388,12
"F",0.435,0.3785,11
"F",0.475,0.486,7
"M",0.465,0.5265,10
"I",0.355,0.2275,11
"M",0.46,0.5105,9
"F",0.38,0.3105,10
"F",0.47,0.543,9
"M",0.36,0.2225,6
"F",0.585,0.998,12
"M",0.655,1.5455,11
"M",0.6,1.2675,13
"F",0.57,1.1,14
"F",0.645,1.4285,11
"M",0.65,1.793,14
"M",0.51,0.6185,12
"M",0.52,0.5825,8
"M",0.495,0.7485,13
"M",0.43,0.406,8
"F",0.59,1.1005,13
"M",0.55,0.869,10
"M",0.585,0.955,11
"F",0.58,0.9215,17
"F",0.62,1.456,13
"I",0.59,0.893,14
"F",0.72,2.226,13
"F",0.635,1.2125,14
"F",0.61,1.0675,15
"F",0.545,0.8525,13
"M",0.57,0.8615,12
"F",0.6,1.162,18
"F",0.52,0.8705,14
"M",0.635,1.598,15
"F",0.67,1.406,13
"M",0.695,2.033,15
"M",0.655,1.259,20
"F",0.62,1.0935,14
"F",0.6,1.1805,19
"M",0.51,0.7175,9
"M",0.525,0.7575,10
"M",0.44,0.487,9
"I",0.485,0.5705,8
"F",0.495,0.6905,10
"I",0.435,0.4475,7
"I",0.405,0.347,9
"I",0.42,0.352,9
"F",0.5,0.7145,9
"F",0.385,0.3315,7
"I",0.33,0.18,6
"F",0.58,0.974,10
"I",0.325,0.185,6
"M",0.475,0.563,10
"F",0.38,0.3215,9
"I",0.34,0.179,6
"M",0.525,0.702,12
"F",0.52,0.8045,10
"F",0.535,0.8075,13
"M",0.475,0.578,8
"I",0.415,0.385,7
"I",0.495,0.585,8
"F",0.48,0.6375,10
"F",0.52,0.813,10
"M",0.46,0.5735,9
"F",0.58,0.94,11
"M",0.59,1.008,11
"F",0.55,0.775,23
"F",0.65,1.1445,12
"F",0.465,0.6,16
"M",0.455,0.515,11
"M",0.47,0.5795,13
"F",0.435,0.384,13
"M",0.35,0.2965,7
"I",0.315,0.137,8
"M",0.595,0.991,16
"F",0.58,0.925,14
"M",0.575,0.805,17
"M",0.535,0.8915,13
"M",0.515,0.769,13
"F",0.505,0.6185,12
"F",0.505,0.6515,15
"I",0.4,0.2875,10
"M",0.49,0.5545,14
"M",0.53,0.7365,12
"I",0.395,0.306,8
"F",0.665,1.496,17
"F",0.415,0.3605,10
"M",0.43,0.3045,11
"M",0.475,0.592,13
"F",0.525,0.7995,15
"I",0.48,0.5825,15
"I",0.42,0.3435,9
"M",0.59,0.906,15
"F",0.515,0.6295,9
"M",0.695,1.5515,13
"F",0.8,2.526,23
"M",0.61,1.103,23
"F",0.565,0.957,18
"M",0.56,0.86,11
"M",0.655,1.62,17
"M",0.64,1.407,17
"F",0.59,0.9,11
"I",0.31,0.1455,7
"I",0.255,0.075,6
"I",0.17,0.0235,6
"M",0.67,1.247,21
"F",0.71,1.7265,17
"F",0.56,0.8025,13
"M",0.505,0.764,11
"M",0.525,0.8645,16
"F",0.45,0.4715,9
"F",0.515,0.631,12
"M",0.59,0.9455,19
"M",0.7,1.3185,18
"F",0.72,1.7265,17
"M",0.635,1.081,11
"M",0.555,0.9025,13
"M",0.575,1.1415,13
"M",0.585,1.027,17
"F",0.61,1.3445,20
"F",0.645,1.449,13
"F",0.545,0.7745,11
"M",0.55,0.7895,12
"F",0.66,1.3665,18
"M",0.57,1.0295,18
"F",0.6,1.031,15
"F",0.63,1.065,12
"M",0.695,1.885,19
"M",0.65,1.2425,15
"F",0.72,1.969,16
"I",0.56,0.9445,12
"I",0.42,0.354,8
"M",0.18,0.023,3
"F",0.405,0.3575,12
"F",0.5,0.5965,12
"I",0.435,0.383,12
"M",0.34,0.2065,10
"F",0.43,0.382,8
"I",0.535,0.6315,12
"I",0.415,0.3285,12
"F",0.36,0.2165,10
"M",0.175,0.0305,5
"M",0.155,0.024,5
"I",0.525,0.7365,11
"F",0.525,0.6005,16
"F",0.44,0.4285,11
"F",0.45,0.496,12
"F",0.485,0.6195,14
"I",0.47,0.567,11
"I",0.515,0.6505,10
"M",0.42,0.4495,11
"F",0.455,0.4485,16
"M",0.37,0.241,10
"M",0.33,0.197,10
"I",0.3,0.1425,7
"I",0.625,1.2395,14
"I",0.61,1.0385,14
"I",0.625,0.972,14
"I",0.635,1.3315,17
"I",0.5,0.762,14
"F",0.53,0.775,17
"I",0.445,0.437,13
"F",0.585,0.6985,12
"I",0.44,0.435,16
"M",0.29,0.1295,10
"I",0.555,0.8435,15
"I",0.655,1.25,15
"F",0.58,1.017,10
"I",0.625,1.411,12
"I",0.62,1.208,15
"F",0.64,1.0705,8
"F",0.505,0.5895,10
"I",0.5,0.537,9
"M",0.31,0.15,7
"F",0.505,0.651,12
"I",0.42,0.28,9
"M",0.4,0.287,10
"M",0.425,0.3525,18
"M",0.31,0.12,11
"F",0.465,0.494,18
"F",0.465,0.4765,10
"M",0.35,0.2145,13
"I",0.52,0.595,15
"F",0.475,0.4805,12
"F",0.41,0.321,10
"M",0.26,0.096,6
"I",0.575,0.9315,13
"I",0.565,0.782,14
"M",0.26,0.0945,6
"F",0.53,0.6695,10
"M",0.34,0.213,9
"I",0.52,0.525,11
"F",0.635,1.312,18
"F",0.61,1.087,11
"F",0.66,1.523,16
"I",0.635,1.319,16
"F",0.465,0.579,14
"M",0.515,0.8175,23
"I",0.335,0.17,9
"F",0.515,0.796,16
"F",0.345,0.197,9
"M",0.465,0.5255,13
"M",0.54,0.879,10
"M",0.475,0.4625,9
"F",0.445,0.4565,11
"M",0.5,0.528,9
"M",0.5,0.5835,12
"F",0.55,0.884,14
"I",0.275,0.096,6
"F",0.35,0.1855,7
"F",0.37,0.27,9
"F",0.42,0.463,10
"M",0.35,0.198,10
"M",0.395,0.282,9
"I",0.325,0.0995,8
"I",0.275,0.092,5
"I",0.235,0.0625,6
"I",0.25,0.073,5
"I",0.25,0.071,5
"I",0.2,0.036,4
"F",0.585,1.099,20
"M",0.445,0.5905,14
"F",0.5,0.768,13
"M",0.44,0.413,8
"M",0.515,0.8505,17
"F",0.52,0.6915,11
"M",0.5,0.709,11
"M",0.425,0.3755,9
"M",0.51,0.8185,16
"F",0.37,0.227,8
"M",0.54,0.8245,13
"M",0.615,1.1825,11
"M",0.565,1.122,20
"M",0.645,1.6115,14
"F",0.615,1.2985,14
"M",0.605,1.3,14
"F",0.59,1.161,12
"M",0.645,1.489,18
"M",0.57,1.008,13
"F",0.47,0.441,8
"F",0.5,0.742,14
"F",0.52,0.7,13
"M",0.39,0.271,8
"M",0.52,0.8565,12
"F",0.54,0.8975,14
"M",0.46,0.6105,14
"I",0.355,0.1925,8
"F",0.49,0.6635,13
"F",0.63,1.235,11
"M",0.5,0.7615,14
"M",0.49,0.592,15
"M",0.44,0.39,7
"F",0.515,0.7565,10
"F",0.475,0.57,11
"I",0.42,0.2865,8
"M",0.4,0.2935,9
"M",0.45,0.567,12
"F",0.52,0.6245,15
"M",0.505,0.8415,12
"M",0.495,0.7775,15
"M",0.54,0.989,19
"F",0.48,0.6905,12
"F",0.33,0.2,9
"I",0.285,0.109,5
"I",0.3,0.127,6
"I",0.31,0.2885,6
"I",0.34,0.18,6
"I",0.375,0.144,7
"I",0.415,0.4665,7
"I",0.415,0.33,6
"I",0.415,0.3625,6
"I",0.42,0.34,8
"I",0.425,0.365,6
"M",0.465,0.5,8
"F",0.465,0.6265,8
"I",0.47,0.5555,8
"F",0.47,0.6015,8
"I",0.475,0.53,10
"M",0.48,0.6315,7
"M",0.5,0.7715,8
"I",0.505,0.6125,7
"M",0.525,0.872,9
"M",0.54,0.8115,9
"M",0.545,0.8795,11
"F",0.565,0.983,9
"M",0.58,1.145,11
"M",0.59,1.09,9
"M",0.59,1.262,9
"M",0.595,1.185,10
"F",0.6,1.4405,9
"F",0.6,1.332,8
"F",0.6,1.1405,9
"M",0.605,1.201,10
"F",0.625,1.33,10
"M",0.63,1.362,10
"M",0.64,1.647,12
"F",0.64,1.4995,11
"F",0.655,1.6225,12
"I",0.66,1.786,11
"M",0.66,1.791,15
"F",0.675,1.925,13
"F",0.675,1.689,13
"F",0.69,1.659,9
"F",0.695,2.0475,14
"F",0.7,1.6015,10
"F",0.73,2.0165,10
"I",0.205,0.04,4
"I",0.225,0.0565,4
"I",0.23,0.064,5
"I",0.275,0.0875,4
"I",0.28,0.106,5
"I",0.28,0.1315,5
"I",0.295,0.126,6
"I",0.31,0.155,6
"I",0.315,0.149,7
"I",0.34,0.185,7
"I",0.37,0.2545,6
"I",0.38,0.237,6
"I",0.39,0.279,7
"I",0.405,0.3205,6
"I",0.415,0.3335,7
"I",0.44,0.3885,7
"I",0.44,0.545,6
"I",0.44,0.4165,6
"I",0.44,0.495,7
"I",0.45,0.4775,6
"I",0.45,0.468,8
"F",0.455,0.4555,7
"F",0.46,0.46,6
"I",0.46,0.4155,7
"I",0.46,0.4215,6
"I",0.465,0.474,7
"M",0.465,0.486,9
"I",0.475,0.5735,7
"I",0.475,0.468,8
"M",0.48,0.5135,8
"M",0.5,0.6215,7
"I",0.5,0.494,7
"I",0.505,0.6005,7
"M",0.515,0.646,9
"M",0.525,0.7945,7
"M",0.525,0.812,8
"F",0.53,0.828,6
"M",0.53,0.681,6
"F",0.53,0.889,8
"M",0.54,0.7345,9
"F",0.55,0.964,8
"F",0.555,0.963,7
"F",0.57,0.995,9
"F",0.57,0.8585,8
"M",0.575,0.948,7
"F",0.58,0.888,8
"F",0.585,0.9045,8
"M",0.59,1.046,7
"F",0.595,1.1775,9
"F",0.595,1.0765,9
"F",0.595,1.0255,11
"F",0.6,0.9325,8
"F",0.6,1.235,8
"M",0.6,1.247,9
"M",0.61,1.1495,8
"F",0.615,1.1575,10
"F",0.615,1.327,10
"M",0.615,1.2,8
"F",0.62,1.2705,9
"F",0.62,1.2155,10
"F",0.62,1.3245,9
"M",0.625,1.3555,10
"F",0.625,1.127,9
"F",0.625,1.1075,8
"F",0.63,1.4255,11
"F",0.63,1.147,9
"M",0.63,1.286,8
"F",0.635,1.596,11
"F",0.635,1.297,11
"M",0.645,1.251,9
"M",0.645,1.5105,12
"F",0.65,1.4415,9
"M",0.67,1.6385,9
"F",0.69,1.933,13
"M",0.69,1.71,8
"F",0.695,1.8495,10
"M",0.695,1.742,12
"F",0.7,1.7975,13
"F",0.705,2.381,10
"M",0.765,2.398,12
"M",0.77,2.1945,10
"I",0.22,0.049,4
"I",0.275,0.1055,5
"I",0.29,0.1045,5
"I",0.33,0.163,6
"I",0.355,0.2275,6
"I",0.375,0.219,6
"I",0.415,0.3645,8
"I",0.425,0.3265,6
"I",0.425,0.3515,7
"I",0.43,0.3465,7
"I",0.44,0.407,7
"I",0.44,0.4215,7
"I",0.46,0.3755,7
"I",0.46,0.5335,6
"I",0.465,0.442,7
"I",0.475,0.1315,7
"I",0.475,0.5205,7
"I",0.485,0.5535,8
"I",0.49,0.5445,8
"M",0.49,0.554,8
"I",0.495,0.512,7
"I",0.5,0.583,8
"M",0.5,0.5765,9
"M",0.505,0.723,7
"I",0.51,0.5395,8
"I",0.51,0.625,8
"I",0.515,0.5925,9
"I",0.52,0.633,9
"F",0.545,0.832,9
"M",0.545,0.778,7
"M",0.545,0.7865,7
"F",0.545,0.778,9
"I",0.55,0.636,8
"F",0.55,0.8435,8
"I",0.555,0.648,8
"M",0.565,0.784,9
"F",0.57,0.908,9
"M",0.57,1.02,9
"F",0.57,0.811,9
"F",0.575,0.897,8
"M",0.58,0.852,8
"F",0.585,0.938,7
"F",0.585,0.6955,8
"M",0.59,0.861,8
"M",0.59,1.004,9
"F",0.59,1.0115,8
"F",0.595,1.1005,8
"M",0.595,1.108,9
"M",0.595,0.852,9
"M",0.6,1.9875,10
"F",0.605,1.079,10
"F",0.615,1.055,9
"M",0.615,1.198,7
"F",0.615,1.084,9
"M",0.615,1.103,10
"M",0.62,1.1,9
"M",0.62,1.1015,10
"M",0.625,1.3835,11
"F",0.625,1.115,9
"M",0.625,1.085,10
"M",0.63,1.3165,11
"M",0.63,1.3415,10
"M",0.63,1.027,8
"M",0.645,1.1845,9
"M",0.645,1.192,9
"F",0.645,1.285,9
"M",0.65,1.1805,9
"M",0.65,1.2655,9
"F",0.65,1.2895,10
"M",0.65,1.407,9
"F",0.65,1.122,9
"M",0.66,1.4465,10
"F",0.665,1.349,9
"M",0.67,1.269,11
"M",0.67,1.68,13
"F",0.675,1.551,13
"M",0.68,1.4775,11
"M",0.68,1.529,11
"M",0.7,1.7585,10
"M",0.7,1.523,13
"F",0.725,1.7315,11
"M",0.725,1.51,9
"M",0.735,1.88,11
"F",0.74,2.012,12
"M",0.75,2.201,11
"I",0.19,0.0315,3
"I",0.21,0.04,4
"I",0.25,0.0635,4
"I",0.29,0.0985,5
"I",0.335,0.167,6
"I",0.34,0.2015,6
"I",0.345,0.183,6
"I",0.355,0.187,7
"I",0.36,0.1795,5
"I",0.37,0.2065,7
"I",0.375,0.3,8
"I",0.375,0.2295,7
"I",0.385,0.343,7
"I",0.385,0.244,8
"I",0.395,0.3075,8
"I",0.4,0.3415,7
"I",0.405,0.271,7
"I",0.405,0.91,8
"I",0.405,0.268,7
"I",0.405,0.2885,6
"I",0.41,0.3,8
"I",0.41,0.326,8
"I",0.415,0.358,7
"I",0.42,0.314,8
"I",0.42,0.4025,8
"I",0.43,0.3645,7
"I",0.445,0.4235,9
"M",0.45,0.4305,8
"I",0.45,0.3505,7
"I",0.455,0.486,8
"I",0.46,0.471,8
"I",0.46,0.415,8
"I",0.475,0.5195,7
"M",0.48,0.5895,11
"I",0.485,0.5215,8
"I",0.485,0.4475,8
"I",0.49,0.5585,10
"I",0.505,0.596,9
"I",0.505,0.5385,9
"I",0.51,0.7665,8
"F",0.515,0.516,9
"M",0.515,0.7355,7
"I",0.515,0.531,8
"I",0.525,0.607,8
"F",0.525,0.7055,10
"I",0.525,0.6445,8
"I",0.525,0.6315,9
"M",0.535,0.7845,10
"F",0.545,0.9475,8
"I",0.55,0.712,10
"I",0.55,0.89,10
"I",0.55,0.912,9
"I",0.55,0.656,10
"I",0.55,0.936,9
"I",0.555,0.6975,11
"F",0.555,1.1465,8
"I",0.56,0.825,10
"I",0.56,0.72,11
"I",0.565,0.8215,11
"F",0.57,1.017,10
"F",0.575,0.8975,9
"M",0.58,1.2255,10
"F",0.58,0.9865,11
"F",0.58,0.844,9
"I",0.585,0.8465,10
"M",0.585,0.885,10
"I",0.585,0.6735,9
"F",0.585,0.8755,8
"M",0.59,0.9235,9
"M",0.59,0.977,10
"M",0.595,1.0305,10
"M",0.6,1.05,8
"M",0.6,1.1145,11
"M",0.6,0.877,9
"M",0.6,1.285,9
"M",0.61,1.3065,10
"F",0.61,0.8725,11
"F",0.615,1.0265,10
"F",0.62,1.1605,9
"F",0.62,1.0125,10
"M",0.625,1.096,10
"M",0.625,1.205,10
"M",0.63,1.221,12
"F",0.63,1.0005,10
"M",0.63,1.1355,12
"M",0.63,1.3135,10
"M",0.64,1.1955,11
"M",0.64,1.098,10
"M",0.64,1.139,10
"F",0.64,1.2265,11
"M",0.64,1.042,10
"M",0.65,1.368,9
"M",0.65,1.446,12
"F",0.66,1.4045,9
"F",0.66,1.463,11
"F",0.675,1.711,9
"M",0.7,1.74,13
"F",0.705,1.757,9
"M",0.71,1.601,11
"M",0.72,2.165,10
"M",0.725,2.3305,9
"I",0.24,0.0545,5
"I",0.255,0.0725,4
"I",0.275,0.0925,4
"I",0.32,0.183,7
"I",0.325,0.1525,6
"I",0.33,0.187,7
"I",0.36,0.232,8
"I",0.375,0.196,5
"I",0.375,0.2545,6
"I",0.39,0.2625,7
"I",0.45,0.362,7
"I",0.455,0.4445,7
"I",0.46,0.511,7
"I",0.495,0.589,8
"M",0.5,0.5945,9
"I",0.5,0.529,8
"M",0.52,0.872,9
"I",0.52,0.77,7
"F",0.525,0.8435,9
"M",0.535,0.818,7
"F",0.54,0.8035,9
"F",0.54,0.8115,9
"F",0.57,0.782,8
"M",0.57,0.8745,8
"M",0.58,0.984,9
"F",0.58,0.95,8
"M",0.59,1.1735,9
"F",0.59,0.976,10
"M",0.59,1.0785,9
"M",0.595,1.057,9
"M",0.6,1.11,9
"M",0.6,1.142,10
"M",0.605,1.1255,10
"F",0.62,1.1045,10
"M",0.625,1.3405,10
"M",0.625,1.082,8
"F",0.625,1.254,9
"M",0.63,1.2005,10
"M",0.63,1.243,10
"F",0.635,1.286,12
"F",0.645,1.1665,9
"F",0.645,1.144,8
"F",0.65,1.385,11
"F",0.655,1.309,11
"F",0.655,1.527,11
"M",0.665,1.6385,11
"M",0.695,1.691,11
"F",0.72,1.719,11
"F",0.72,1.52,10
"F",0.72,1.613,12
"M",0.735,2.2355,10
"M",0.74,2.3235,11
"I",0.31,0.1245,6
"I",0.315,0.1285,4
"I",0.32,0.181,5
"I",0.325,0.1585,6
"I",0.335,0.1965,7
"I",0.37,0.198,5
"I",0.37,0.1855,7
"I",0.375,0.2145,7
"I",0.4,0.3245,8
"I",0.41,0.2625,6
"I",0.425,0.371,8
"I",0.435,0.298,7
"I",0.445,0.336,7
"I",0.46,0.447,9
"F",0.465,0.4085,8
"I",0.47,0.587,8
"I",0.475,0.494,8
"I",0.495,0.614,8
"I",0.5,0.5075,9
"I",0.5,0.5445,8
"I",0.505,0.6115,9
"I",0.505,0.5605,8
"M",0.505,0.521,8
"I",0.51,0.5775,9
"I",0.51,0.5935,8
"I",0.52,0.597,8
"M",0.52,0.9505,8
"I",0.53,0.616,8
"M",0.53,0.8315,10
"F",0.535,0.8725,8
"I",0.54,0.8155,11
"I",0.54,0.619,10
"I",0.545,0.7595,8
"I",0.545,0.742,10
"I",0.55,0.804,8
"I",0.55,0.664,8
"F",0.55,0.745,9
"I",0.56,0.728,8
"I",0.56,0.777,9
"F",0.575,0.8765,8
"I",0.575,0.9895,9
"M",0.575,0.9655,8
"M",0.58,0.9065,8
"M",0.58,1.049,10
"F",0.58,0.9705,9
"F",0.58,0.92,9
"M",0.58,0.9525,11
"F",0.58,0.7855,11
"I",0.585,0.855,9
"M",0.59,1.142,9
"I",0.59,0.755,9
"I",0.59,0.9745,10
"M",0.595,1.2015,10
"M",0.595,1.1295,10
"I",0.6,0.9205,9
"F",0.6,1.056,10
"M",0.6,1.34,10
"F",0.6,0.9625,9
"M",0.6,1.0475,11
"F",0.605,1.0915,13
"M",0.605,1.167,9
"I",0.605,0.9995,10
"I",0.61,1.0485,11
"F",0.61,1.2735,12
"M",0.61,1.0625,11
"I",0.61,1.1545,11
"F",0.615,1.194,11
"F",0.615,1.1215,9
"M",0.615,0.9335,10
"F",0.615,1.198,10
"F",0.62,0.9545,9
"M",0.62,1.3585,10
"M",0.625,1.2075,11
"M",0.625,1.217,10
"F",0.625,1.217,11
"F",0.625,0.92,10
"M",0.625,0.8765,10
"F",0.63,1.2615,10
"M",0.63,1.2795,9
"F",0.63,1.167,10
"M",0.63,1.1885,7
"F",0.635,1.3765,11
"M",0.635,1.292,11
"M",0.635,1.1795,10
"F",0.635,1.29,8
"M",0.635,1.2075,11
"M",0.64,1.297,11
"M",0.64,1.4585,11
"F",0.645,1.151,12
"F",0.645,1.197,11
"M",0.645,1.539,12
"M",0.65,1.676,15
"F",0.65,1.6645,12
"F",0.655,1.528,11
"F",0.655,1.494,12
"F",0.66,1.277,13
"F",0.66,1.5965,10
"F",0.665,1.3805,10
"I",0.67,1.2565,9
"F",0.67,1.527,12
"M",0.67,1.4005,9
"M",0.67,1.4405,9
"M",0.67,1.482,10
"M",0.68,1.2345,11
"F",0.68,1.3435,12
"M",0.685,1.533,10
"M",0.69,1.8445,13
"M",0.715,1.825,11
"M",0.72,2.0885,13
"M",0.735,2.087,12
"M",0.745,1.884,12
"I",0.32,0.305,6
"I",0.43,0.4295,8
"I",0.43,0.449,6
"M",0.485,1.029,8
"M",0.49,0.981,8
"I",0.5,0.5745,7
"F",0.505,0.693,8
"F",0.51,1.183,9
"F",0.525,0.7905,8
"F",0.535,1.224,10
"I",0.535,0.775,8
"M",0.535,1.2705,13
"M",0.555,1.406,10
"M",0.555,0.873,9
"M",0.56,0.9415,9
"F",0.59,1.007,9
"M",0.595,1.0835,8
"I",0.595,0.9845,8
"F",0.595,1.5245,11
"M",0.61,1.024,9
"M",0.61,1.281,9
"F",0.62,1.148,10
"F",0.625,1.136,9
"F",0.635,1.2235,9
"F",0.635,1.3695,11
"M",0.64,1.006,9
"M",0.64,1.307,11
"M",0.645,1.463,10
"F",0.655,1.2905,10
"F",0.67,1.4265,11
"M",0.68,1.7885,13
"M",0.7,1.6135,11
"M",0.73,2.2305,14
"F",0.75,2.2635,12
"I",0.255,0.074,4
"I",0.375,0.2075,6
"I",0.375,0.237,8
"I",0.39,0.2665,7
"I",0.39,0.215,8
"I",0.395,0.253,6
"I",0.42,0.309,6
"I",0.435,0.3535,7
"I",0.435,0.335,8
"I",0.44,0.3875,9
"I",0.45,0.365,8
"I",0.45,0.4045,8
"I",0.455,0.372,9
"I",0.46,0.3965,8
"I",0.47,0.5225,8
"I",0.475,0.456,9
"I",0.495,0.44,7
"I",0.495,0.507,8
"I",0.5,0.5285,8
"I",0.515,0.572,7
"I",0.52,0.6625,11
"I",0.52,0.6445,11
"I",0.525,0.6275,8
"I",0.535,0.6885,9
"M",0.535,0.6835,8
"M",0.54,0.6855,10
"I",0.55,0.6755,10
"I",0.55,0.783,11
"M",0.56,0.894,9
"I",0.565,0.768,9
"M",0.57,0.95,10
"F",0.57,0.871,10
"M",0.575,0.9785,9
"I",0.575,0.7425,8
"M",0.575,0.737,10
"I",0.575,0.9175,9
"F",0.58,0.8785,10
"M",0.585,1.1275,11
"M",0.59,0.9765,9
"I",0.59,0.974,8
"M",0.59,0.853,9
"M",0.595,0.991,12
"M",0.595,0.9125,9
"F",0.595,0.921,9
"F",0.6,0.869,11
"M",0.6,0.8665,12
"F",0.61,1.089,11
"M",0.615,0.9615,11
"M",0.615,1.145,13
"I",0.62,0.907,11
"F",0.625,1.1635,11
"M",0.63,1.1955,11
"M",0.63,1.31,10
"F",0.635,1.251,11
"F",0.635,1.145,9
"M",0.635,1.154,9
"F",0.64,1.1335,11
"F",0.64,1.2015,9
"M",0.65,1.5595,11
"M",0.65,1.3165,12
"M",0.655,1.403,11
"F",0.655,1.204,9
"F",0.655,1.2895,11
"F",0.66,1.5175,10
"M",0.665,1.3575,10
"M",0.675,1.3645,11
"F",0.68,1.494,11
"F",0.68,1.664,11
"M",0.685,1.545,10
"F",0.695,1.5855,11
"F",0.7,1.666,11
"M",0.71,1.724,13
"F",0.73,1.908,14
"F",0.755,2.073,11
"I",0.225,0.0515,4
"I",0.23,0.057,5
"I",0.255,0.0925,6
"I",0.355,0.204,7
"I",0.425,0.3075,7
"I",0.425,0.262,8
"M",0.455,0.458,8
"M",0.46,0.491,10
"M",0.495,0.474,10
"M",0.51,0.5805,11
"F",0.52,0.728,11
"M",0.525,0.622,9
"M",0.53,0.706,9
"F",0.53,0.5685,9
"M",0.545,0.9385,11
"F",0.55,0.655,8
"M",0.575,0.9465,9
"M",0.58,0.9115,10
"M",0.595,0.942,11
"M",0.6,1.193,8
"M",0.645,1.461,11
"M",0.66,1.489,10
"I",0.29,0.1115,5
